VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;CO_DISTRITO
CALLE;DE LA;AERONAVE;AERONAVE;21
CAMINO;DEL;AEROPUERTO;AEROPUERTO;21
CALLE;DEL;AFECTO;AFECTO;17
CALLE;DE LOS;AFLUENTES;AFLUENTES;17
CALLE;DE;AFUERAS A SAN ROQUE;AFUERAS A SAN ROQUE;8
CALLE;DE;AFUERAS A VALVERDE;AFUERAS A VALVERDE;8
CALLE;DE;AFUERAS A VALVERDE;AFUERAS A VALVERDE;8
CALLE;DE;AFUERAS A VALVERDE;AFUERAS A VALVERDE;8
PUENTE;DE LA;AGACHADIZA;AGACHADIZA;9
CALLE;DE;AGAMI;AGAMI;15
CALLE;DE;AGASTIA;AGASTIA;15
CALLE;DE;AGASTIA;AGASTIA;15
CALLE;DE;AGASTIA;AGASTIA;15
CALLE;DE;AGASTIA;AGASTIA;15
CALLE;DE;AGATA;ÁGATA;17
PLAZA;DE;AGATA;ÁGATA;17
CALLE;DE;AGATHA CHRISTIE;AGATHA CHRISTIE;16
CALLE;DEL;AGAVE;ÁGAVE;6
CALLE;DE;AGES;AGÉS;8
CALLE;DE;AGILA;AGILA;10
CALLE;DE;AGOSTO;AGOSTO;20
CALLE;DEL;AGRACEJO;AGRACEJO;6
CALLE;DE;AGRAMUNT;AGRAMUNT;21
CALLE;DE;AGREDA;ÁGREDA;16
PLAZA;DE;AGUA, AZUCARILLOS Y AGUARDIENTE;AGUA, AZUCARILLOS Y AGUARDIENTE;17
PLAZA;DE;AGUA, AZUCARILLOS Y AGUARDIENTE;AGUA, AZUCARILLOS Y AGUARDIENTE;17
CALLE;DEL;AGUACATE;AGUACATE;11
PLAZA;DEL;AGUADOR;AGUADOR;11
CALLE;DE;AGUADULCE;AGUADULCE;21
CALLE;DE;AGUARON;AGUARÓN;9
CALLE;DE LAS;AGUAS;AGUAS;1
CALLE;DE;AGUAVIVA;AGUAVIVA;20
CALLE;DE;AGUEDA DIEZ;ÁGUEDA DÍEZ;11
PLAZA;DE;AGUEDA DIEZ;ÁGUEDA DÍEZ;11
CALLE;DE;AGUETOL;AGUETOL;21
CALLE;DEL;AGUILA;ÁGUILA;1
CAMINO;DEL;AGUILA DE SAN JORGE;ÁGUILA DE SAN JORGE;8
CALLE;DE;AGUILAFUENTE;AGUILAFUENTE;9
CALLE;DE;AGUILAR DE CAMPOO;AGUILAR DE CAMPOO;9
CALLE;DE;AGUILAR DEL RIO;AGUILAR DEL RÍO;11
CALLE;DE LAS;AGUILEÑAS;AGUILEÑAS;6
CALLE;DE;AGUILON;AGUILÓN;2
