ï»¿CODIGO;TUNEL;EPOCA;TIPO_DIA;HORA;SECCION_ACCESO;INTENSIDAD;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;__fuente
TC0602;AZCA;GENERAL;FESTIVO;23;ENTRADA AGUSTIN BETANCOURT;52;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;0;ENTRADA ALBERTO ALCOCER;452;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;1;ENTRADA ALBERTO ALCOCER;493;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;2;ENTRADA ALBERTO ALCOCER;374;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;3;ENTRADA ALBERTO ALCOCER;253;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;4;ENTRADA ALBERTO ALCOCER;211;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;5;ENTRADA ALBERTO ALCOCER;155;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;6;ENTRADA ALBERTO ALCOCER;183;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;7;ENTRADA ALBERTO ALCOCER;167;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;8;ENTRADA ALBERTO ALCOCER;158;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;9;ENTRADA ALBERTO ALCOCER;208;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;10;ENTRADA ALBERTO ALCOCER;245;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;11;ENTRADA ALBERTO ALCOCER;419;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;12;ENTRADA ALBERTO ALCOCER;562;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;13;ENTRADA ALBERTO ALCOCER;598;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;14;ENTRADA ALBERTO ALCOCER;757;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;15;ENTRADA ALBERTO ALCOCER;724;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;16;ENTRADA ALBERTO ALCOCER;478;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;17;ENTRADA ALBERTO ALCOCER;563;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;18;ENTRADA ALBERTO ALCOCER;681;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;19;ENTRADA ALBERTO ALCOCER;691;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;20;ENTRADA ALBERTO ALCOCER;696;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;21;ENTRADA ALBERTO ALCOCER;836;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;22;ENTRADA ALBERTO ALCOCER;478;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0508;R.DOMINICANA;GENERAL;FESTIVO;23;ENTRADA ALBERTO ALCOCER;356;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;0;ENTRADA ALFONSO XIII;88;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;1;ENTRADA ALFONSO XIII;72;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;2;ENTRADA ALFONSO XIII;34;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;3;ENTRADA ALFONSO XIII;30;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;4;ENTRADA ALFONSO XIII;22;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;5;ENTRADA ALFONSO XIII;8;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;6;ENTRADA ALFONSO XIII;10;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;7;ENTRADA ALFONSO XIII;17;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;8;ENTRADA ALFONSO XIII;20;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;9;ENTRADA ALFONSO XIII;46;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;10;ENTRADA ALFONSO XIII;72;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;11;ENTRADA ALFONSO XIII;99;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;12;ENTRADA ALFONSO XIII;191;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;13;ENTRADA ALFONSO XIII;138;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;14;ENTRADA ALFONSO XIII;225;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;15;ENTRADA ALFONSO XIII;176;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;16;ENTRADA ALFONSO XIII;69;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;17;ENTRADA ALFONSO XIII;124;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;18;ENTRADA ALFONSO XIII;151;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;19;ENTRADA ALFONSO XIII;152;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;20;ENTRADA ALFONSO XIII;176;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;21;ENTRADA ALFONSO XIII;211;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;22;ENTRADA ALFONSO XIII;106;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0509;ALFONSO XIII;GENERAL;FESTIVO;23;ENTRADA ALFONSO XIII;47;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;0;ENTRADA ANTONIO LOPEZ;54;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;1;ENTRADA ANTONIO LOPEZ;38;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;2;ENTRADA ANTONIO LOPEZ;28;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;3;ENTRADA ANTONIO LOPEZ;18;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;4;ENTRADA ANTONIO LOPEZ;27;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;5;ENTRADA ANTONIO LOPEZ;12;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;6;ENTRADA ANTONIO LOPEZ;31;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;7;ENTRADA ANTONIO LOPEZ;28;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;8;ENTRADA ANTONIO LOPEZ;29;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;9;ENTRADA ANTONIO LOPEZ;59;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;10;ENTRADA ANTONIO LOPEZ;77;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;11;ENTRADA ANTONIO LOPEZ;103;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;12;ENTRADA ANTONIO LOPEZ;111;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;13;ENTRADA ANTONIO LOPEZ;104;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;14;ENTRADA ANTONIO LOPEZ;113;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;15;ENTRADA ANTONIO LOPEZ;68;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;16;ENTRADA ANTONIO LOPEZ;80;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;17;ENTRADA ANTONIO LOPEZ;88;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;18;ENTRADA ANTONIO LOPEZ;106;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;19;ENTRADA ANTONIO LOPEZ;87;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;20;ENTRADA ANTONIO LOPEZ;113;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;21;ENTRADA ANTONIO LOPEZ;92;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;22;ENTRADA ANTONIO LOPEZ;56;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC1201;C.PERALES;GENERAL;FESTIVO;23;ENTRADA ANTONIO LOPEZ;34;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;0;ENTRADA ARZOBISPO MORCILLO;3;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;1;ENTRADA ARZOBISPO MORCILLO;1;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;2;ENTRADA ARZOBISPO MORCILLO;1;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;3;ENTRADA ARZOBISPO MORCILLO;1;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;4;ENTRADA ARZOBISPO MORCILLO;2;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;5;ENTRADA ARZOBISPO MORCILLO;1;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;6;ENTRADA ARZOBISPO MORCILLO;2;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
