id_sensor;intensidad;dia;mes;año
;;26;2;2026
3840.0;200.0;26;2;2026
3841.0;580.0;26;2;2026
3842.0;1260.0;26;2;2026
3843.0;1440.0;26;2;2026
3844.0;1840.0;26;2;2026
3845.0;2080.0;26;2;2026
3846.0;1120.0;26;2;2026
3847.0;380.0;26;2;2026
3848.0;1100.0;26;2;2026
3850.0;2040.0;26;2;2026
7029.0;1400.0;26;2;2026
10034.0;460.0;26;2;2026
3851.0;1060.0;26;2;2026
10036.0;140.0;26;2;2026
3562.0;580.0;26;2;2026
3854.0;300.0;26;2;2026
3852.0;1600.0;26;2;2026
7026.0;1220.0;26;2;2026
7011.0;720.0;26;2;2026
7030.0;720.0;26;2;2026
7032.0;860.0;26;2;2026
3891.0;1120.0;26;2;2026
3892.0;760.0;26;2;2026
3893.0;820.0;26;2;2026
3894.0;660.0;26;2;2026
5072.0;520.0;26;2;2026
5073.0;680.0;26;2;2026
5074.0;440.0;26;2;2026
3895.0;620.0;26;2;2026
3896.0;200.0;26;2;2026
3897.0;560.0;26;2;2026
3898.0;400.0;26;2;2026
3899.0;360.0;26;2;2026
3900.0;240.0;26;2;2026
3901.0;740.0;26;2;2026
3902.0;860.0;26;2;2026
3903.0;60.0;26;2;2026
3905.0;480.0;26;2;2026
3906.0;480.0;26;2;2026
3433.0;560.0;26;2;2026
3907.0;0.0;26;2;2026
3908.0;100.0;26;2;2026
11112.0;420.0;26;2;2026
11113.0;540.0;26;2;2026
11114.0;440.0;26;2;2026
11089.0;420.0;26;2;2026
11115.0;640.0;26;2;2026
11118.0;499.0;26;2;2026
11117.0;280.0;26;2;2026
11116.0;120.0;26;2;2026
7036.0;320.0;26;2;2026
9841.0;680.0;26;2;2026
9843.0;780.0;26;2;2026
9842.0;60.0;26;2;2026
11396.0;1080.0;26;2;2026
11243.0;120.0;26;2;2026
3909.0;720.0;26;2;2026
3910.0;940.0;26;2;2026
3911.0;320.0;26;2;2026
3460.0;260.0;26;2;2026
3461.0;840.0;26;2;2026
3912.0;1040.0;26;2;2026
3913.0;700.0;26;2;2026
3914.0;640.0;26;2;2026
3915.0;1060.0;26;2;2026
3916.0;800.0;26;2;2026
3917.0;860.0;26;2;2026
3918.0;340.0;26;2;2026
3919.0;960.0;26;2;2026
3920.0;180.0;26;2;2026
3921.0;840.0;26;2;2026
3922.0;460.0;26;2;2026
3923.0;680.0;26;2;2026
3924.0;440.0;26;2;2026
3925.0;780.0;26;2;2026
3926.0;760.0;26;2;2026
3927.0;380.0;26;2;2026
3928.0;20.0;26;2;2026
3604.0;0.0;26;2;2026
11352.0;0.0;26;2;2026
3605.0;20.0;26;2;2026
10078.0;140.0;26;2;2026
10076.0;1040.0;26;2;2026
10079.0;20.0;26;2;2026
3606.0;1060.0;26;2;2026
3930.0;1280.0;26;2;2026
3931.0;1180.0;26;2;2026
3932.0;1960.0;26;2;2026
3933.0;100.0;26;2;2026
3934.0;940.0;26;2;2026
3935.0;499.0;26;2;2026
3936.0;0.0;26;2;2026
3937.0;1900.0;26;2;2026
3938.0;1980.0;26;2;2026
3939.0;2140.0;26;2;2026
3940.0;1620.0;26;2;2026
3941.0;1500.0;26;2;2026
3942.0;680.0;26;2;2026
3943.0;740.0;26;2;2026
3944.0;1800.0;26;2;2026
3945.0;340.0;26;2;2026
3946.0;1740.0;26;2;2026
3798.0;1100.0;26;2;2026
3697.0;1600.0;26;2;2026
3947.0;1120.0;26;2;2026
3948.0;760.0;26;2;2026
3578.0;1620.0;26;2;2026
4223.0;940.0;26;2;2026
10048.0;1360.0;26;2;2026
10049.0;100.0;26;2;2026
10050.0;320.0;26;2;2026
10018.0;0.0;26;2;2026
3950.0;400.0;26;2;2026
9894.0;360.0;26;2;2026
3952.0;1140.0;26;2;2026
3953.0;340.0;26;2;2026
3954.0;900.0;26;2;2026
10606.0;80.0;26;2;2026
4224.0;840.0;26;2;2026
4225.0;260.0;26;2;2026
3956.0;800.0;26;2;2026
9893.0;2060.0;26;2;2026
3958.0;1040.0;26;2;2026
3757.0;1660.0;26;2;2026
3959.0;1400.0;26;2;2026
3960.0;1680.0;26;2;2026
3720.0;1740.0;26;2;2026
9890.0;1640.0;26;2;2026
3961.0;240.0;26;2;2026
3497.0;400.0;26;2;2026
3434.0;840.0;26;2;2026
3435.0;1140.0;26;2;2026
3962.0;580.0;26;2;2026
3963.0;980.0;26;2;2026
3964.0;1640.0;26;2;2026
3965.0;1560.0;26;2;2026
3966.0;100.0;26;2;2026
3967.0;1240.0;26;2;2026
3968.0;0.0;26;2;2026
3969.0;0.0;26;2;2026
3970.0;1100.0;26;2;2026
3971.0;580.0;26;2;2026
3972.0;280.0;26;2;2026
3973.0;980.0;26;2;2026
3974.0;940.0;26;2;2026
3975.0;740.0;26;2;2026
3976.0;2100.0;26;2;2026
3977.0;2140.0;26;2;2026
3978.0;400.0;26;2;2026
3979.0;440.0;26;2;2026
3980.0;280.0;26;2;2026
3981.0;180.0;26;2;2026
3982.0;720.0;26;2;2026
4014.0;0.0;26;2;2026
9892.0;2160.0;26;2;2026
3949.0;1880.0;26;2;2026
3951.0;1800.0;26;2;2026
10607.0;360.0;26;2;2026
3957.0;1960.0;26;2;2026
9895.0;1840.0;26;2;2026
10685.0;360.0;26;2;2026
3992.0;1020.0;26;2;2026
3993.0;1300.0;26;2;2026
3994.0;340.0;26;2;2026
3995.0;1520.0;26;2;2026
3607.0;580.0;26;2;2026
3608.0;499.0;26;2;2026
3996.0;220.0;26;2;2026
3579.0;499.0;26;2;2026
3997.0;600.0;26;2;2026
3612.0;160.0;26;2;2026
3613.0;480.0;26;2;2026
3998.0;440.0;26;2;2026
3999.0;480.0;26;2;2026
4000.0;260.0;26;2;2026
4001.0;440.0;26;2;2026
10013.0;380.0;26;2;2026
10192.0;440.0;26;2;2026
10193.0;340.0;26;2;2026
4002.0;760.0;26;2;2026
4003.0;540.0;26;2;2026
4004.0;320.0;26;2;2026
4005.0;480.0;26;2;2026
4006.0;499.0;26;2;2026
5081.0;1160.0;26;2;2026
4008.0;999.0;26;2;2026
4009.0;499.0;26;2;2026
4010.0;860.0;26;2;2026
4011.0;640.0;26;2;2026
4012.0;520.0;26;2;2026
4013.0;680.0;26;2;2026
7037.0;1320.0;26;2;2026
4015.0;460.0;26;2;2026
5082.0;1500.0;26;2;2026
4016.0;420.0;26;2;2026
4017.0;440.0;26;2;2026
10098.0;900.0;26;2;2026
10099.0;100.0;26;2;2026
10100.0;160.0;26;2;2026
10101.0;140.0;26;2;2026
10102.0;20.0;26;2;2026
10170.0;400.0;26;2;2026
4018.0;1080.0;26;2;2026
4019.0;760.0;26;2;2026
7109.0;1520.0;26;2;2026
3753.0;1140.0;26;2;2026
4021.0;600.0;26;2;2026
4022.0;560.0;26;2;2026
4023.0;480.0;26;2;2026
4024.0;220.0;26;2;2026
4025.0;1800.0;26;2;2026
4026.0;1360.0;26;2;2026
4027.0;280.0;26;2;2026
4028.0;820.0;26;2;2026
4029.0;760.0;26;2;2026
4030.0;240.0;26;2;2026
4031.0;1380.0;26;2;2026
4032.0;1100.0;26;2;2026
4033.0;480.0;26;2;2026
4034.0;640.0;26;2;2026
4035.0;1060.0;26;2;2026
3616.0;620.0;26;2;2026
4036.0;840.0;26;2;2026
4037.0;0.0;26;2;2026
7038.0;1500.0;26;2;2026
4039.0;740.0;26;2;2026
4040.0;200.0;26;2;2026
4041.0;240.0;26;2;2026
4042.0;640.0;26;2;2026
4043.0;480.0;26;2;2026
4044.0;440.0;26;2;2026
4045.0;540.0;26;2;2026
4046.0;0.0;26;2;2026
4047.0;120.0;26;2;2026
4048.0;1660.0;26;2;2026
9888.0;480.0;26;2;2026
10103.0;180.0;26;2;2026
4052.0;640.0;26;2;2026
4053.0;960.0;26;2;2026
4054.0;840.0;26;2;2026
4055.0;560.0;26;2;2026
4057.0;280.0;26;2;2026
4058.0;200.0;26;2;2026
10093.0;180.0;26;2;2026
4060.0;420.0;26;2;2026
4061.0;0.0;26;2;2026
4062.0;620.0;26;2;2026
3462.0;1040.0;26;2;2026
4064.0;260.0;26;2;2026
3609.0;499.0;26;2;2026
3610.0;160.0;26;2;2026
4066.0;1300.0;26;2;2026
4067.0;360.0;26;2;2026
4068.0;560.0;26;2;2026
4070.0;480.0;26;2;2026
4071.0;280.0;26;2;2026
4073.0;160.0;26;2;2026
4074.0;0.0;26;2;2026
4075.0;1140.0;26;2;2026
4076.0;740.0;26;2;2026
4077.0;340.0;26;2;2026
3764.0;380.0;26;2;2026
10080.0;999.0;26;2;2026
10081.0;120.0;26;2;2026
10082.0;680.0;26;2;2026
10083.0;180.0;26;2;2026
10085.0;400.0;26;2;2026
10084.0;240.0;26;2;2026
4406.0;240.0;26;2;2026
4407.0;200.0;26;2;2026
4410.0;220.0;26;2;2026
4411.0;460.0;26;2;2026
4412.0;360.0;26;2;2026
4413.0;660.0;26;2;2026
4416.0;40.0;26;2;2026
4417.0;540.0;26;2;2026
3748.0;900.0;26;2;2026
5422.0;180.0;26;2;2026
5423.0;2140.0;26;2;2026
5424.0;1480.0;26;2;2026
5425.0;1660.0;26;2;2026
5426.0;1999.0;26;2;2026
5427.0;1660.0;26;2;2026
5428.0;1900.0;26;2;2026
5429.0;2540.0;26;2;2026
5431.0;520.0;26;2;2026
5432.0;440.0;26;2;2026
5433.0;80.0;26;2;2026
5438.0;280.0;26;2;2026
5439.0;160.0;26;2;2026
5440.0;200.0;26;2;2026
5441.0;120.0;26;2;2026
5442.0;20.0;26;2;2026
5443.0;200.0;26;2;2026
5444.0;100.0;26;2;2026
10031.0;60.0;26;2;2026
10463.0;1780.0;26;2;2026
3421.0;960.0;26;2;2026
7017.0;540.0;26;2;2026
3423.0;880.0;26;2;2026
5451.0;660.0;26;2;2026
5452.0;1540.0;26;2;2026
5453.0;1480.0;26;2;2026
5454.0;0.0;26;2;2026
5455.0;0.0;26;2;2026
5456.0;1080.0;26;2;2026
5457.0;2200.0;26;2;2026
5458.0;840.0;26;2;2026
5459.0;1620.0;26;2;2026
5460.0;1260.0;26;2;2026
5461.0;0.0;26;2;2026
5462.0;1380.0;26;2;2026
5463.0;1420.0;26;2;2026
5464.0;1440.0;26;2;2026
5465.0;620.0;26;2;2026
5466.0;160.0;26;2;2026
5467.0;180.0;26;2;2026
5468.0;820.0;26;2;2026
5469.0;1060.0;26;2;2026
11094.0;140.0;26;2;2026
5470.0;380.0;26;2;2026
5471.0;0.0;26;2;2026
5472.0;820.0;26;2;2026
5473.0;460.0;26;2;2026
5474.0;1260.0;26;2;2026
5475.0;900.0;26;2;2026
5476.0;1640.0;26;2;2026
5477.0;1160.0;26;2;2026
5478.0;1520.0;26;2;2026
5479.0;1560.0;26;2;2026
5480.0;220.0;26;2;2026
5481.0;300.0;26;2;2026
5482.0;460.0;26;2;2026
5483.0;320.0;26;2;2026
5484.0;480.0;26;2;2026
5485.0;580.0;26;2;2026
5486.0;460.0;26;2;2026
5487.0;100.0;26;2;2026
5488.0;180.0;26;2;2026
5489.0;620.0;26;2;2026
5490.0;560.0;26;2;2026
5491.0;180.0;26;2;2026
5492.0;1080.0;26;2;2026
5493.0;1040.0;26;2;2026
5494.0;100.0;26;2;2026
3743.0;120.0;26;2;2026
11082.0;80.0;26;2;2026
5495.0;140.0;26;2;2026
5496.0;380.0;26;2;2026
5497.0;420.0;26;2;2026
5498.0;700.0;26;2;2026
5499.0;480.0;26;2;2026
5500.0;340.0;26;2;2026
5501.0;580.0;26;2;2026
5502.0;999.0;26;2;2026
5503.0;400.0;26;2;2026
5504.0;560.0;26;2;2026
11079.0;80.0;26;2;2026
5508.0;760.0;26;2;2026
5509.0;680.0;26;2;2026
5680.0;0.0;26;2;2026
5510.0;320.0;26;2;2026
5511.0;680.0;26;2;2026
11083.0;160.0;26;2;2026
5512.0;640.0;26;2;2026
5513.0;640.0;26;2;2026
11085.0;200.0;26;2;2026
3449.0;560.0;26;2;2026
7082.0;40.0;26;2;2026
7080.0;20.0;26;2;2026
11340.0;160.0;26;2;2026
7085.0;60.0;26;2;2026
10469.0;100.0;26;2;2026
5515.0;980.0;26;2;2026
5516.0;860.0;26;2;2026
5517.0;0.0;26;2;2026
5518.0;580.0;26;2;2026
5519.0;1020.0;26;2;2026
5520.0;660.0;26;2;2026
5521.0;1080.0;26;2;2026
5522.0;720.0;26;2;2026
