idelem;lon;lat;district_code;district_name
10186;-3.709093;40.478415;NA;NA
10187;-3.705989;40.479117;NA;NA
10188;-3.669229;40.498856;NA;NA
10189;-3.668002;40.498426;NA;NA
10190;-3.667807;40.497296;NA;NA
10191;-3.669393;40.497610;NA;NA
10192;-3.675013;40.434094;NA;NA
10193;-3.674960;40.434085;NA;NA
10194;-3.659897;40.427257;NA;NA
10195;-3.711236;40.450937;NA;NA
10197;-3.688807;40.497920;NA;NA
10198;-3.659740;40.502394;NA;NA
10199;-3.660069;40.502542;NA;NA
10200;-3.659980;40.502519;NA;NA
10201;-3.659832;40.502435;NA;NA
10202;-3.648708;40.400590;NA;NA
10203;-3.648810;40.400548;NA;NA
10204;-3.648946;40.400398;NA;NA
10205;-3.684117;40.376953;NA;NA
10207;-3.684029;40.377010;NA;NA
10208;-3.770863;40.394352;NA;NA
10210;-3.685133;40.515611;NA;NA
10211;-3.736837;40.371212;NA;NA
10212;-3.710372;40.450071;NA;NA
10213;-3.676625;40.508466;NA;NA
10214;-3.677495;40.509048;NA;NA
10215;-3.678585;40.509582;NA;NA
10216;-3.718495;40.440952;NA;NA
10217;-3.712269;40.430259;NA;NA
10218;-3.705793;40.455667;NA;NA
10219;-3.706729;40.454787;NA;NA
10220;-3.705579;40.454706;NA;NA
10221;-3.706713;40.455563;NA;NA
10222;-3.772386;40.394042;NA;NA
10223;-3.770322;40.392812;NA;NA
10224;-3.770263;40.392848;NA;NA
10225;-3.752851;40.404948;NA;NA
10226;-3.752775;40.404940;NA;NA
10227;-3.753343;40.405192;NA;NA
10228;-3.753905;40.404949;NA;NA
10229;-3.739481;40.476895;NA;NA
10230;-3.737980;40.477217;NA;NA
10231;-3.738634;40.476892;NA;NA
10232;-3.737170;40.477205;NA;NA
10233;-3.736282;40.477002;NA;NA
10234;-3.736140;40.477336;NA;NA
10235;-3.735569;40.477128;NA;NA
10236;-3.753463;40.405738;NA;NA
10237;-3.753215;40.405483;NA;NA
