label,url,type
"Descargar fichero WMS, 667 descargas",/egob/catalogo/300550-11592002-limpieza-viaria.wms,WMS
"Descargar fichero ZIP, 1.253 descargas",/egob/catalogo/300550-11591998-limpieza-viaria.zip,SHP_ZIP
